# PadDis v8.1
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz
0,22039,0.15234,-6.58984,7.31641,0.87414551,-0.33831787,0.11785889,-0.32794189,-41.97810,-0.90790,-40.77956,0,0,0.000
1,22047,0.19141,-6.58984,7.35156,0.87414551,-0.33831787,0.11785889,-0.32800293,-41.97717,-0.91023,-40.78569,0,0,0.000
2,22058,0.19141,-6.62891,7.43359,0.87414551,-0.33825684,0.11779785,-0.32800293,-41.96879,-0.91410,-40.78428,0,0,0.000
3,22066,0.15234,-6.58984,7.35547,0.87414551,-0.33825684,0.11785889,-0.32800293,-41.97105,-0.90797,-40.78661,0,0,0.000
4,22075,0.15234,-6.55078,7.31250,0.87414551,-0.33825684,0.11785889,-0.32800293,-41.97105,-0.90797,-40.78661,0,0,0.000
5,22086,0.15234,-6.55078,7.35156,0.87414551,-0.33825684,0.11779785,-0.32800293,-41.96879,-0.91410,-40.78428,0,0,0.000
6,22097,0.19141,-6.58984,7.39453,0.87414551,-0.33825684,0.11773682,-0.32794189,-41.96746,-0.91790,-40.77582,0,0,0.000
7,22105,0.19141,-6.62891,7.43359,0.87414551,-0.33837891,0.11767578,-0.32794189,-41.97746,-0.92854,-40.77164,0,0,0.000
8,22115,0.19141,-6.58984,7.39453,0.87414551,-0.33837891,0.11767578,-0.32794189,-41.97746,-0.92854,-40.77164,0,0,0.000
9,22126,0.19141,-6.58984,7.39453,0.87414551,-0.33831787,0.11761475,-0.32794189,-41.96907,-0.93241,-40.77023,0,0,0.000
10,22137,0.19141,-6.62891,7.35156,0.87420654,-0.33825684,0.11755371,-0.32794189,-41.95835,-0.93536,-40.76657,0,0,0.000
11,22145,0.19141,-6.58984,7.39453,0.87426758,-0.33819580,0.11743164,-0.32794189,-41.94538,-0.94444,-40.76058,0,0,0.000
12,22155,0.19141,-6.62891,7.39453,0.87426758,-0.33819580,0.11730957,-0.32788086,-41.94180,-0.95437,-40.74980,0,0,0.000
13,22166,0.19141,-6.58984,7.35156,0.87426758,-0.33819580,0.11718750,-0.32781982,-41.93822,-0.96430,-40.73901,0,0,0.000
14,22177,0.19141,-6.51172,7.46875,0.87426758,-0.33825684,0.11718750,-0.32781982,-41.94434,-0.96656,-40.73809,0,0,0.000
15,22185,0.19141,-6.51172,7.43359,0.87432861,-0.33825684,0.11718750,-0.32775879,-41.94294,-0.96331,-40.72970,0,0,0.000
16,22195,0.15234,-6.51172,7.39062,0.87426758,-0.33825684,0.11724854,-0.32781982,-41.94660,-0.96043,-40.74042,0,0,0.000
17,22206,0.19141,-6.62891,7.43359,0.87426758,-0.33825684,0.11730957,-0.32788086,-41.94793,-0.95663,-40.74887,0,0,0.000
18,22217,0.19141,-6.55078,7.42969,0.87420654,-0.33825684,0.11737061,-0.32788086,-41.95251,-0.95142,-40.75345,0,0,0.000
19,22225,0.19141,-6.55078,7.39062,0.87420654,-0.33819580,0.11749268,-0.32800293,-41.94905,-0.94156,-40.77129,0,0,0.000
20,22235,0.19141,-6.58984,7.31250,0.87420654,-0.33813477,0.11755371,-0.32806396,-41.94425,-0.93551,-40.78068,0,0,0.000
21,22245,0.15234,-6.58984,7.23438,0.87420654,-0.33801270,0.11761475,-0.32812500,-41.93333,-0.92719,-40.79098,0,0,0.000
22,22257,0.15234,-6.58984,7.31641,0.87426758,-0.33789062,0.11755371,-0.32818604,-41.91557,-0.93021,-40.79436,0,0,0.000
