# PadDis v8.9 boat,,,,,,,,,,,,,,,
seq,timestamp_ms,gps_utc_sec,gps_uk_offset,gps_lat,gps_lon,gps_speed_ms,gps_cog_deg,gps_fix,kayak_qw,kayak_qx,kayak_qy,kayak_qz,kayak_roll,kayak_pitch,kayak_yaw
129191,1316509,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.05194092,-0.91790771,0.38824463,0.06311035,-177.3103,8.98613,-45.64212
129192,1316518,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.05236816,-0.91784668,0.38842773,0.06298828,-177.26108,8.9925,-45.66022
129193,1316528,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.05285645,-0.91772461,0.38861084,0.06274414,-177.19994,8.9893,-45.68035
129194,1316540,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.0534668,-0.91766357,0.38879395,0.06243896,-177.123,8.9845,-45.69654
129195,1316548,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.05419922,-0.9175415,0.38897705,0.06213379,-177.03311,8.98569,-45.7143
129196,1316558,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.05493164,-0.91748047,0.38916016,0.06182861,-176.94316,8.98632,-45.72934
129197,1316568,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.0557251,-0.9173584,0.38934326,0.0614624,-176.84404,8.98383,-45.74647
129198,1316579,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05657959,-0.91723633,0.38952637,0.06109619,-176.73839,8.98407,-45.76302
129199,1316588,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05743408,-0.91717529,0.38964844,0.06072998,-176.63211,8.98377,-45.77034
129200,1316598,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05841064,-0.91705322,0.38983154,0.06030273,-176.51073,8.98302,-45.78569
129201,1316609,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05938721,-0.91693115,0.38995361,0.05993652,-176.39145,8.98874,-45.79454
129202,1316618,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06030273,-0.91687012,0.39007568,0.05950928,-176.27596,8.98476,-45.80125
129203,1316628,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06121826,-0.91674805,0.39025879,0.05914307,-176.16379,8.98782,-45.8172
129204,1316640,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06201172,-0.91668701,0.39031982,0.05883789,-176.06618,8.99133,-45.81861
129205,1316648,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06286621,-0.91662598,0.39044189,0.05847168,-175.9599,8.99113,-45.82592
129206,1316658,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06359863,-0.91650391,0.39056396,0.05822754,-175.87212,8.999,-45.83714
129207,1316670,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06420898,-0.91644287,0.39068604,0.05792236,-175.79462,8.99447,-45.84687
129208,1316679,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06481934,-0.91638184,0.39074707,0.05767822,-175.71924,8.99635,-45.85007
129209,1316689,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06524658,-0.91638184,0.39080811,0.05749512,-175.66612,8.99597,-45.85236
129210,1316699,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06561279,-0.9163208,0.39080811,0.05737305,-175.62161,8.9999,-45.85146
129211,1316709,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.065979,-0.9163208,0.39086914,0.05725098,-175.57773,9.00325,-45.85432
129212,1316718,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06622314,-0.91625977,0.39086914,0.05718994,-175.54895,9.00821,-45.85461
129213,1316728,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06640625,-0.91625977,0.39093018,0.05712891,-175.52733,9.00991,-45.8593
129214,1316740,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06646729,-0.91619873,0.39099121,0.05706787,-175.51868,9.00683,-45.86795
129215,1316748,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06658936,-0.91619873,0.39105225,0.05706787,-175.50627,9.01225,-45.87322
129216,1316758,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06658936,-0.9161377,0.39111328,0.05712891,-175.5096,9.01933,-45.88242
129217,1316770,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06658936,-0.9161377,0.39111328,0.05712891,-175.5096,9.01933,-45.88242
129218,1316778,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06652832,-0.9161377,0.39117432,0.05712891,-175.51671,9.01667,-45.88954
129219,1316788,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06646729,-0.9161377,0.39123535,0.05718994,-175.52657,9.02043,-45.89663
129220,1316799,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06628418,-0.9161377,0.39123535,0.05725098,-175.54881,9.01877,-45.89845
129221,1316809,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06610107,-0.9161377,0.39123535,0.05737305,-175.57378,9.02353,-45.90024
129222,1316819,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.0657959,-0.9161377,0.39117432,0.05749512,-175.61116,9.02285,-45.89676
129223,1316829,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06542969,-0.91619873,0.39117432,0.05767822,-175.6584,9.02533,-45.89764
129224,1316839,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06500244,-0.91619873,0.39111328,0.05786133,-175.71152,9.0257,-45.89537
129225,1316849,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06451416,-0.91625977,0.39111328,0.05810547,-175.77451,9.0292,-45.89746
129226,1316859,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06365967,-0.9163208,0.39105225,0.05847168,-175.88138,9.02935,-45.89669
129227,1316870,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06292725,-0.91638184,0.39099121,0.05877686,-175.97249,9.02846,-45.89472
129228,1316879,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06182861,-0.91644287,0.39086914,0.0592041,-176.1075,9.02423,-45.88986
129229,1316889,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.06091309,-0.91650391,0.39080811,0.05963135,-176.2236,9.02811,-45.8897
129230,1316901,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05963135,-0.91662598,0.39074707,0.06018066,-176.3842,9.02804,-45.89043
129231,1316909,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05853271,-0.91668701,0.390625,0.06066895,-176.52194,9.03026,-45.88558
129232,1316919,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05712891,-0.91674805,0.39050293,0.0612793,-176.69772,9.03182,-45.88376
129233,1316929,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05584717,-0.91687012,0.39044189,0.06182861,-176.85829,9.03176,-45.8845
129234,1316939,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05438232,-0.91693115,0.39031982,0.06243896,-177.04057,9.03063,-45.88327
129235,1316949,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05279541,-0.91705322,0.39019775,0.06311035,-177.23854,9.02995,-45.88052
129236,1316959,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.05114746,-0.91717529,0.39007568,0.06378174,-177.44301,9.02657,-45.87834
129237,1316970,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04968262,-0.91723633,0.38995361,0.06433105,-177.62256,9.01903,-45.87701
129238,1316979,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04803467,-0.9173584,0.38983154,0.06500244,-177.82701,9.01566,-45.8748
129239,1316989,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04626465,-0.91741943,0.38964844,0.06573486,-178.04675,9.01397,-45.87004
129240,1317001,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04467773,-0.9175415,0.38952637,0.06640625,-178.24471,9.01333,-45.86726
129241,1317010,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04302979,-0.91760254,0.3894043,0.06707764,-178.44925,9.01054,-45.86777
129242,1317019,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04162598,-0.91766357,0.38928223,0.06762695,-178.62231,9.00574,-45.8658
129243,1317029,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.04022217,-0.91778564,0.38916016,0.06817627,-178.79523,9.00041,-45.86108
129244,1317040,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.03887939,-0.91784668,0.38903809,0.06872559,-178.96178,8.99834,-45.85855
129245,1317049,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.03778076,-0.91790771,0.38897705,0.0690918,-179.0946,8.98769,-45.85989
129246,1317059,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.03662109,-0.91796875,0.38885498,0.06951904,-179.23616,8.98092,-45.8554
129247,1317070,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.03582764,-0.91796875,0.38879395,0.06982422,-179.33389,8.97794,-45.85664
129248,1317079,51442,1,54.976467,-2.095377,1.1421,306.47,1,0.03515625,-0.91802979,0.38873291,0.07006836,-179.41571,8.97344,-45.85389
129249,1317089,51442,1,54.976467,-2.095377,1.1421,306.47,1,0.03436279,-0.91802979,0.38867188,0.07037354,-179.51344,8.97046,-45.85511
129250,1317101,51442,1,54.976467,-2.095377,1.1421,306.47,1,0.03399658,-0.91809082,0.38861084,0.07055664,-179.56,8.97311,-45.84955
