# PadDis v8.9 boat corrected (option-3: 180 deg about sensor-X; original X=starboard Y=aft Z=down -> corrected X=starboard Y=fwd Z=up)
seq,timestamp_ms,gps_utc_sec,gps_uk_offset,gps_lat,gps_lon,gps_speed_ms,gps_cog_deg,gps_fix,kayak_qw,kayak_qx,kayak_qy,kayak_qz,kayak_roll,kayak_pitch,kayak_yaw
129191,1316509,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91790771,0.05194092,0.06311035,-0.38824463,2.68970,8.98613,-45.64212
129192,1316518,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91784668,0.05236816,0.06298828,-0.38842773,2.73893,8.99250,-45.66022
129193,1316528,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91772461,0.05285645,0.06274414,-0.38861084,2.80006,8.98930,-45.68034
129194,1316540,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91766357,0.05346680,0.06243896,-0.38879395,2.87699,8.98450,-45.69654
129195,1316548,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91754150,0.05419922,0.06213379,-0.38897705,2.96689,8.98569,-45.71430
129196,1316558,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91748047,0.05493164,0.06182861,-0.38916016,3.05684,8.98632,-45.72934
129197,1316568,51441,1,54.97646,-2.095367,1.4559,316.2,1,0.91735840,0.05572510,0.06146240,-0.38934326,3.15597,8.98383,-45.74647
129198,1316579,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.91723633,0.05657959,0.06109619,-0.38952637,3.26162,8.98406,-45.76303
129199,1316588,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.91717529,0.05743408,0.06072998,-0.38964844,3.36789,8.98377,-45.77034
129200,1316598,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.91705322,0.05841064,0.06030273,-0.38983154,3.48928,8.98302,-45.78569
129201,1316609,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.91693115,0.05938721,0.05993652,-0.38995361,3.60855,8.98874,-45.79454
129202,1316618,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.91687012,0.06030273,0.05950928,-0.39007568,3.72404,8.98476,-45.80125
129203,1316628,51442,1,54.976467,-2.095377,1.4559,316.2,1,0.91674805,0.06121826,0.05914307,-0.39025879,3.83621,8.98782,-45.81720
