# PadDis v8.9,,,,,,,,,,,,,,,,
seq,timestamp_ms,accel_x,accel_y,accel_z,q_w,q_x,q_y,q_z,roll,pitch,yaw,stroke_count,cpm,hz,gps_utc_sec,gps_uk_offset
61074,631504,1.26172,-2.46875,3.69531,0.09448242,-0.12994385,-0.27246094,0.94866943,-33.51114,11.24811,165.22839,23,27,0.457,51450,1
61075,631513,1.07031,-3.23828,2.66406,0.08416748,-0.13879395,-0.29528809,0.94152832,-36.35787,12.21881,165.75731,23,27,0.457,51450,1
61076,631523,1.33594,-5.33984,2.85938,0.07324219,-0.14758301,-0.31695557,0.934021,-39.08685,13.25362,166.30946,23,27,0.457,51450,1
61077,631533,0.87891,-3.66016,2.66406,0.06347656,-0.15496826,-0.33337402,0.92779541,-41.17744,14.1959,166.81599,23,27,0.457,51451,1
61078,631544,0.87891,-3.66016,2.66406,0.05285645,-0.16247559,-0.34783936,0.921875,-43.03657,15.23528,167.39998,23,27,0.457,51451,1
61079,631554,0.87891,-5.15234,3.69922,0.0425415,-0.16949463,-0.35906982,0.91680908,-44.49898,16.27425,167.99126,23,27,0.457,51451,1
61080,631564,0.6875,-3.46484,3.8125,0.03131104,-0.17669678,-0.36889648,0.9119873,-45.78671,17.40878,168.66913,23,27,0.457,51451,1
61081,631573,0.22656,-3.15625,3.65625,0.02124023,-0.18280029,-0.37609863,0.90814209,-46.73223,18.42288,169.30479,23,27,0.457,51451,1
61082,631583,-0.30859,-2.58203,3.93359,0.01037598,-0.18890381,-0.38256836,0.90435791,-47.57737,19.4953,170.02411,23,27,0.457,51451,1
61083,631593,-1,-1.96875,3.96875,0.00079346,0.19445801,0.38873291,-0.90057373,-48.36592,20.54104,170.7972,23,27,0.457,51451,1
61084,631603,-2.03516,-1.81641,2.89062,0.01300049,0.19989014,0.39556885,-0.8963623,-49.22,21.62986,171.66049,23,27,0.457,51451,1
61085,631613,-2.45312,-2.08594,2.66797,0.0246582,0.20422363,0.40222168,-0.89215088,-50.03358,22.59538,172.51392,23,27,0.457,51451,1
61086,631624,-2.45312,-2.08594,2.66797,0.0369873,0.20806885,0.40917969,-0.88763428,-50.86516,23.55653,173.44685,23,27,0.457,51451,1
61087,631635,-2.875,-2.04688,2.96875,0.05041504,0.21160889,0.41607666,-0.88293457,-51.66009,24.55844,174.50706,23,27,0.457,51451,1
61088,631643,-3.22266,-2.23828,3.125,0.06402588,0.21472168,0.42144775,-0.87872314,-52.23343,25.55255,175.64761,23,27,0.457,51451,1
61089,631653,-3.83203,-3.34766,3.89062,0.07739258,0.21746826,0.42462158,-0.87548828,-52.49021,26.51792,176.8501,23,27,0.457,51451,1
